city,zipcode,address,zpid,bathrooms,bedrooms,sqft,hometype,zestimate,rentzestimate,real rent
Durham,27713,120 Crooked Creek Ln,84509517,3.0,4,5800,SingleFamily,890825.0,4753,4000
Durham,27713,5502 Grand Mesa Dr,59712115,2.5,4,1984,SingleFamily,231992.0,2600,2750
Durham,27713,5 Cibola Ct,59712135,2.5,4,1980,SingleFamily,232232.0,2300,2750
Durham,27705,4806 Hillsborough Rd,119255293,3.0,5,2450,SingleFamily,288581.0,1595,2500
DURHAM,27705,4804 Hillsborough Rd,98201444,3.0,5,2450,SingleFamily,284992.0,1650,2500
Durham,27713,125 Victorian Oaks Dr,114429877,3.0,5,2769,SingleFamily,333680.0,1999,2450
Durham,27705,4115 Peachway Dr,49994394,3.0,5,2750,SingleFamily,363553.0,2018,2400
Durham,27703,309 Vintage Holly Dr,122690541,3.0,5,2900,SingleFamily,276752.0,1500,1895
Durham,27703,813 Poplar St,98198893,3.0,5,2678,SingleFamily,259141.0,1550,2295
Durham,27703,813 Poplar St,98198893,3.0,5,2678,SingleFamily,259141.0,1550,2295
Durham,27703,105 Elmsford St,124722731,3.5,5,3295,SingleFamily,317784.0,1646,2250
Durham,27712,222 Tennwood Ct,50027701,4.0,5,6456,SingleFamily,1035138.0,5810,7500
Durham,27713,5 Ontario Ct,50001759,3.5,5,3700,SingleFamily,437679.0,2454,2400
Durham,27707,3860 Somerset Dr,49984137,3.0,5,4400,SingleFamily,796772.0,4466,2495
